ID,BOM Level,Name,Project ID,Revision,Phase,Description,Unit of Measure,Procurement Type,Part Owner,Creation Date,Manufacturer,Manufacturer Part Number 1,Manufacturer Part Name 1,Manufacturer 2,Manufacturer Part Number 2,Manufacturer Part Name 2,Vendor 1,Vendor Part Number 1,Vendor Part Name 1,Vendor 2,Vendor Part Number 2,Vendor Part Name 2,Supplier ID
40-0039,4,USB Connector,2,A,In Production,"4 CONTACT(S), FEMALE, RIGHT ANGLE TELECOM AND DATACOM CONNECTOR, SURFACE MOUNT, RECEPTACLE",each,OTS,Bret D Lobree,3/5/2010,Tempor Milling,896-43-004-00-000000,CONN RECEPT USB TYPE A SMT,,,,EGETEM,ED90065-ND,CONN RECEPT USB TYPE A SMT,,,,EGETEM
40-0041,4,0.1uF Ceramic Chip Capacitor,2,A,In Production,"CAPACITOR, CERAMIC, MULTILAYER, 16 V, X7R, 0.1 uF, SURFACE MOUNT, 0603",each,OTS,Bret D Lobree,3/2/2010,Matsushita,ECJ1VB1C104K,Capacitor; Ceramic,Nam LLC,C0603C104M3VAC TU,CERAMIC CHIP STANDARD CAPACITOR,Eleifend,ECJ1VB1C104K,Capacitor; Ceramic,Nam LLC,C0603C104M3VAC TU,CERAMIC CHIP STANDARD CAPACITOR,Avnet;Kemet
40-0042,4,10k Resistor,2,A,In Production,"RESISTOR, METAL GLAZE/THICK FILM, 0.0625 W, 5 %, 250 ppm, 10000 ohm, SURFACE MOUNT",each,OTS,Monica Williams,3/2/2010,NIC,NRC06J103TR,Resistor; Metal Glaze/Thick Film,Matsushita,ERJ3GSYJ103V,Resistor; Metal Glaze/Thick Film,Eleifend,NRC06J1032TR,Resistor; Metal Glaze/Thick Film,EGETEM,P10KGTR-ND,Resistor; Metal Glaze/Thick Film,Avnet;DIGIKEY
40-0043,4,1k Resistor,2,A,In Production,"RESISTOR, METAL GLAZE/THICK FILM, 0.0625 W, 5 %, 250 ppm, 1000 ohm, SURFACE MOUNT",each,OTS,Amir Mohgadam,3/2/2010,Matsushita,ERJ3GSYJ102V,Resistor; Metal Glaze/Thick Film,,,,"Reptron Electronics, Inc.",4RB-1031,Resistor; Metal Glaze/Thick Film,,,,Non Enim Electronics
40-0044,4,"1.0uF Ceramic Capacitor, 1206",2,A,In Production,"1.0uF Ceramic Capacitor, 1206",each,OTS,Monica Williams,3/2/2010,Yageo,CC1206KKX7R7BB10,Capacitor; Ceramic,,,,EGETEM,311-1181-1-ND,Capacitor; Ceramic,,,,EGETEM
40-0045,4,Low-dropout 5.0V 100mA Voltage Regulator,2,A,In Production,"5 V FIXED POSITIVE LDO REGULATOR, 0.6 V DROPOUT, PDSO8",each,OTS,Amir Mohgadam,3/2/2010,Motorola Inc.,LM2931D-5.0,5 V Fixed Positive Ldo Regulator; 0.6 V Dropout,,,,Est Electronics Corp.,LM2931D-5.0,5 V Fixed Positive Ldo Regulator; 0.6 V Dropout,,,,Est Electronics Corp.
40-0046,4,100ohm Resistor,2,A,In Production,"RESISTOR, METAL GLAZE/THICK FILM, 0.1 W, 5 %, 200 ppm, 100 ohm, SURFACE MOUNT, 0603",each,OTS,Amir Mohgadam,3/2/2010,AVX,CR10-101J-T,Resistor; Metal Glaze/Thick Film,Matsushita,ERJ-3GSYJ101V,Resistor; Metal Glaze/Thick Film,Est Electronics Corp.,NRC06J101TR,Resistor; Metal Glaze/Thick Film,EGETEM,P100GTR-ND,Resistor; Metal Glaze/Thick Film,Future Electronics (FAI);DIGIKEY
40-0047,4,51k Resistor,2,A,In Production,"RESISTOR, METAL GLAZE/THICK FILM, 0.1 W, 5 %, 200 ppm, 51000 ohm, SURFACE MOUNT, 0603",each,OTS,Monica Williams,3/2/2010,NIC,NRC06J513TR,Resistor; Metal Glaze/Thick Film,Matsushita,ERJ3GEJ513V,Resistor; Metal Glaze/Thick Film,Eleifend,NRC06J513TR,Resistor; Metal Glaze/Thick Film,EGETEM,P51KGTR-ND,Resistor; Metal Glaze/Thick Film,Avnet;DIGIKEY
40-0048,4,470k Resistor,2,A,In Production,"RESISTOR, METAL GLAZE/THICK FILM, 0.1 W, 5 %, 200 ppm, 470000 ohm, SURFACE MOUNT, 0603",each,OTS,Monica Williams,3/2/2010,NIC,NRC06J474TR,Resistor; Metal Glaze/Thick Film,Yageo,9C06031A4703JLHFT,,Eleifend,NRC06J474TR,Resistor; Metal Glaze/Thick Film,EGETEM,311-470KGTR-ND,470k Resistor,Avnet;DIGIKEY
40-0049,4,500mW NPN Transistor,2,A,In Production,"1000 mA, 60 V, NPN, Si, SMALL SIGNAL TRANSISTOR",each,OTS,Monica Williams,3/2/2010,Zetex,FMMT491,1000 Ma; 60 V; Npn; Si; Small Signal Transistor,,,,EGETEM,FMMT491ACT-ND,1000 Ma; 60 V; Npn; Si; Small Signal Transistor,,,,EGETEM
40-0050,4,Small-signal PNP Transistor,2,A,In Production,"200 mA, 40 V, PNP, Si, SMALL SIGNAL TRANSISTOR",each,OTS,Monica Williams,3/2/2010,MCC Semiconductor,MMBT3906-2A,,Diodes,MMBT3906-7,200 Ma; 40 V; Pnp; Si; Small Signal Transistor,Eleifend,MMBT3906-2A,Small-signal PNP Transistor,EGETEM,MMBT3906DITR-ND,200 Ma; 40 V; Pnp; Si; Small Signal Transistor,Avnet;DIGIKEY
40-0051,4,470 ohm Resistor,2,A,In Production,"RESISTOR, METAL GLAZE/THICK FILM, 0.1 W, 5 %, 200 ppm, 47 ohm, SURFACE MOUNT, 0603",each,OTS,Amir Mohgadam,3/2/2010,Matsushita,ERJ3GEYJ471V,Resistor; Metal Glaze/Thick Film,Matsushita,ERJ3GSYJ470V,Resistor; Metal Glaze/Thick Film,Eleifend,ERJ3GEYJ471V,Resistor; Metal Glaze/Thick Film,EGETEM,P470GTR-ND,Resistor; Metal Glaze/Thick Film,Avnet;DIGIKEY
40-0052,4,"Tantalum Capacitor 10uF@16V,B pkg",2,A,In Production,"CAPACITOR, TANTALUM, SOLID, POLARIZED, 16 V, 10 uF, SURFACE MOUNT, 1411",each,OTS,Amir Mohgadam,3/2/2010,Matsushita,ECST1CX106R,Capacitor; Tantalum,Nemco,PCT10/16BM,,Eleifend,PCT10/16BM-PAN,Capacitor; Tantalum,EGETEM,PCS3106CT-ND,Capacitor; Tantalum,Avnet;DIGIKEY
40-0053,4,"Tantalum Capacitor 4.7uF@4V,A pkg",2,A,In Production,"CAPACITOR, TANTALUM, SOLID, POLARIZED, 10 V, 4.7 uF, SURFACE MOUNT, 1411",each,OTS,Amir Mohgadam,3/2/2010,Matsushita,ECST1AY475R,Capacitor; Tantalum,,,,EGETEM,PCS2475TR-ND,Capacitor; Tantalum,EGETEM,PCS2475CT-ND,Capacitor; Tantalum,EGETEM
40-0054,4,Voltage Detector CMOS 4.3V SOT23,2,A,In Production,"1-CHANNEL POWER SUPPLY SUPPORT CKT, PDSO3",each,OTS,Monica Williams,3/2/2010,Microchips Corp.,TC54VC4302ECB713,1-Channel Power Supply Support Ckt; Pdso3,,,,EGETEM,TC54VC4302ECB71CT-ND,1-Channel Power Supply Support Ckt; Pdso3,Microchips Corp.,TC54VC4302ECB713,1-Channel Power Supply Support Ckt; Pdso3,DIGIKEY;Microchip
40-0055,4,220k Resistor,2,A,In Production,"RESISTOR, METAL GLAZE/THICK FILM, 0.1 W, 5 %, 200 ppm, 220000 ohm, SURFACE MOUNT, 0603",each,OTS,Amir Mohgadam,3/2/2010,Matsushita,ERJ3GEYJ224V,Resistor; Metal Glaze/Thick Film,,,,Eleifend,ERJ3GEYJ224V,Resistor; Metal Glaze/Thick Film,EGETEM,P220KGTR-ND,Resistor; Metal Glaze/Thick Film,Avnet;DIGIKEY
40-0056,4,1M Resistor,2,A,In Production,"RESISTOR, METAL GLAZE/THICK FILM, 0.0625 W, 5 %, 250 ppm, 1000000 ohm, SURFACE MOUNT",each,OTS,Monica Williams,3/2/2010,Yageo,9C06031A1004JLHFT,,Matsushita,ERJ3GSYJ105V,Resistor; Metal Glaze/Thick Film,Eleifend,9C06031A1004JLHFT,1M Resistor,EGETEM,P1.0MGCT,Resistor; Metal Glaze/Thick Film,Avnet;DIGIKEY
40-0057,4,"0.01uF Ceramic Chip Capacitor, 0603",2,A,In Production,"CAPACITOR, CERAMIC, MULTILAYER, 50 V, X7R, 0.01 uF, SURFACE MOUNT, 0603",each,OTS,Amir Mohgadam,3/2/2010,NIC,NMC0603X7R103K50TRP,Capacitor; Ceramic,Matsushita,ECUV1H103KBV,Capacitor; Ceramic,Eleifend,NMC0603X7R103K50TRP,Capacitor; Ceramic,EGETEM,PCC103BVCT-ND,Capacitor; Ceramic,Avnet;DIGIKEY
40-0058,4,47 ohm Resistor,2,A,In Production,"RESISTOR, METAL GLAZE/THICK FILM, 0.1 W, 5 %, 200 ppm, 47 ohm, SURFACE MOUNT, 0603",each,OTS,Amir Mohgadam,3/2/2010,RCD,MC0603-470-JT,Resistor; Metal Glaze/Thick Film,Matsushita,ERJ3GSYJ47V,,Eleifend,4RB-4711,Resistor; Metal Glaze/Thick Film,EGETEM,P47GTR-ND,47 ohm Resistor,Avnet;DIGIKEY
40-0059,4,Small-single NPN Transistor,2,A,In Production,"100 mA, 45 V, NPN, Si, SMALL SIGNAL TRANSISTOR",each,OTS,Monica Williams,3/2/2010,Infineon,BCX70KE6327,100 Ma; 45 V; Npn; Si; Small Signal Transistor,,,,EGETEM,BCX70KINTR-ND,100 Ma; 45 V; Npn; Si; Small Signal Transistor,,,,EGETEM
40-0061,4,N-Chn Enhan-Md MOSFET,2,A,In Production,"200 mA, 50 V, N-CHANNEL, Si, SMALL SIGNAL, MOSFET",each,OTS,Amir Mohgadam,3/2/2010,Zetex,BSS138TA,200 Ma; 50 V; N-Channel; Si; Small Signal; Mosfet,,,,EGETEM,BSS138ZXTR-ND,200 Ma; 50 V; N-Channel; Si; Small Signal; Mosfet,,,,EGETEM
40-0062,4,3k Resistor,2,A,In Production,"RESISTOR, METAL GLAZE/THICK FILM, 0.0625 W, 5 %, 200 ppm, 3000 ohm, SURFACE MOUNT",each,OTS,Amir Mohgadam,3/2/2010,Matsushita,ERJ3GSJ302V,Resistor; Metal Glaze/Thick Film,,,,Eleifend,ERJ3GSJ302V,Resistor; Metal Glaze/Thick Film,EGETEM,P3.0KGCT-ND,Resistor; Metal Glaze/Thick Film,Avnet;DIGIKEY
40-0063,4,Exclusive Or Gate single,2,A,In Production,"HC/UH SERIES, 2-INPUT XOR GATE, PDSO5",each,OTS,Monica Williams,3/2/2010,Toshiba,TC7SH86FU,7S Series; 2-Input XOR Gate; Pdso5,,,,EGETEM,TC7SH86FUTTR-ND,7S Series; 2-Input XOR Gate; Pdso5,,,,EGETEM
40-0064,4,Speaker w/drive circuit 3-15volts,2,A,In Production,Speaker w/drive circuit 3-15volts,each,OTS,Monica Williams,3/2/2010,Kobitone Audio Co.,254-15210,,,,,Eu Sem Electronics,254-15210,,,,,Eu Sem Electronics
40-0066,4,Signal Diode,2,A,In Production,"0.2 A, 75 V, SILICON, SIGNAL DIODE",each,OTS,Monica Williams,3/2/2010,Diodes,MMBD914-7-F,0.2 A; 75 V; Silicon; Signal Diode,Diodes,BAS16-7,0.2 A; 75 V; Silicon; Signal Diode,Eleifend,MMBD914-7-F,0.2 A; 75 V; Silicon; Signal Diode,Eu Sem Electronics,621-BAS16,0.2 A; 75 V; Silicon; Signal Diode,Avnet;Mouser Electronics
40-0067,4,2M Resistor,2,A,In Production,"RESISTOR, METAL GLAZE/THICK FILM, 0.0625 W, 5 %, 400 ppm, 2000000 ohm, SURFACE MOUNT",each,OTS,Monica Williams,3/2/2010,Matsushita,ERJ3GSYJ205V,Resistor; Metal Glaze/Thick Film,,,,Eleifend,ERJ3GSYJ205V,Resistor; Metal Glaze/Thick Film,EGETEM,P2.0MGCT,Resistor; Metal Glaze/Thick Film,Avnet;DIGIKEY
40-0068,4,P-Chan MOSFET SOT-223,2,A,In Production,"7.5 A, 30 V, 0.03 ohm, P-CHANNEL, Si, POWER, MOSFET",each,OTS,Amir Mohgadam,3/2/2010,Fairchild,NDT456P,7.5 A; 30 V,,,,EGETEM,NDT456PCT-ND,7.5 A; 30 V,"Access Components, Inc.",NDT456P,7.5 A; 30 V,DIGIKEY;Access Components Inc.
40-0069,4,HE 2 Channel solid state relay (B form),2,A,In Production,HE 2 Channel solid state relay (B form),each,OTS,Monica Williams,3/2/2010,Aromat,AQW454A,Dual Transistor Output Solid State Relay; 1500 V Isolation-Max,,,,EGETEM,AQW454A,Dual Transistor Output Solid State Relay; 1500 V Isolation-Max,,,,EGETEM
40-0070,4,"Schottky Diode, 320mV@1mA",2,A,In Production,"0.2 A, 30 V, SILICON, SIGNAL DIODE, TO-236AB",each,OTS,Monica Williams,3/2/2010,NXP,BAT54,0.2 A; 30 V; Silicon; Signal Diode; To-236Ab,,,,Eleifend,BAT54,0.2 A; 30 V; Silicon; Signal Diode; To-236Ab,Nunc Ltd,BAT54,0.2 A; 30 V; Silicon; Signal Diode; To-236Ab,Avnet;Goober Enterprises
40-0071,4,Millmax 0666 Socket for 0.020 pins,2,A,In Production,"BERYLLIUM COPPER, TIN LEAD (100) OVER NICKEL FINISH, PCB TERMINAL",each,OTS,Monica Williams,3/2/2010,Tempor Milling,0666-0-15-01-32-02-10-0,Beryllium Copper Alloy; Tin Lead Finish,,,,Tempor Milling,0666-0-15-01-32-02-10-0,Beryllium Copper Alloy; Tin Lead Finish,Luctus Aliquet,54A-1010,Beryllium Copper Alloy; Tin Lead Finish,Mill-Max;Jabil
40-0072,4,2.7k Resistor,2,A,In Production,"RESISTOR, METAL GLAZE/THICK FILM, 0.0625 W, 5 %, 250 ppm, 2700 ohm, SURFACE MOUNT",each,OTS,Amir Mohgadam,3/2/2010,Matsushita,ERJ3GSYJ272V,Resistor; Metal Glaze/Thick Film,,,,Eleifend,ERJ3GSYJ272V,Resistor; Metal Glaze/Thick Film,EGETEM,P2.7KGTR-ND,Resistor; Metal Glaze/Thick Film,Avnet;DIGIKEY
40-0073,4,4.0 MHz Fixed oscillator,2,A,In Production,4.0 MHz Fixed oscillator,each,OTS,Monica Williams,3/2/2010,Epson Electronics,SG-615P 4.0000MC2,,,,,EGETEM,SE2205CT-ND,,"Reptron Electronics, Inc.",SG-8002JA-4.0000M-PHBB,,DIGIKEY;Reptron Electronics Inc.
40-0074,4,"Miniature Pushbutton Switch, Right Angle",2,A,In Production,"SWITCH, SPST, MOMENTARY, 0.02A, 50VDC, RIGHT ANGLE",each,OTS,Amir Mohgadam,3/2/2010,"C&K Components, Inc. ITT",KT11P3JM,SM Miniature Key Switch,,,,Fringilla Electronics,463-0001,,EGETEM,CKN9003CT-ND,SM Miniature Key Switch,Target Electronics;DIGIKEY
40-0075,4,Single Logic Level P-Channel FET,2,A,In Production,"2.3 A, 30 V, 0.2 ohm, P-CHANNEL, Si, POWER, MOSFET",each,OTS,Amir Mohgadam,3/2/2010,IR,IRLMS5703TR,2.3 A; 30 V; 0.2 Ohm; P-Channel; Si; Power; Mosfet,,,,Est Electronics Corp.,IRLMS5703,2.3 A; 30 V; 0.2 Ohm; P-Channel; Si; Power; Mosfet,EGETEM,IRLMS5703TR,2.3 A; 30 V; 0.2 Ohm; P-Channel; Si; Power; Mosfet,Future Electronics (FAI);DIGIKEY
40-0076,4,Red/Green SM LED,2,A,In Production,"DUAL COLOR LED, RED/GREEN, 2.5 mm",each,OTS,Amir Mohgadam,3/2/2010,Chicago Mini,7011X1/5,Dual Color Led; Red/Green; 2.5 mm,,,,Hendrerit Electronics,7011X1/5,Dual Color Led; Red/Green; 2.5 mm,EGETEM,L61015TR-ND,Dual Color Led; Red/Green; 2.5 mm,Zuma Electronics;DIGIKEY
40-0077,4,Molex 4-pin 0.079 RA Header,2,A,In Production,"4 CONTACT(S), MALE, RIGHT ANGLE TWO PART BOARD CONNECTOR, SOLDER",each,OTS,Monica Williams,3/2/2010,Molex,53015-0410,,,,,Eleifend,530-15-0410,Molex 4-pin 0.079 RA Header,Vulputate Foundation,53015-0410,,Avnet;TTI
40-0078,4,IR 40Khz Integrated Receiver Siemen,2,A,In Production,LOGIC OUTPUT PHOTO DETECTOR,each,OTS,Monica Williams,3/2/2010,Siemens,SFH5110-40,Logic Output Photo Detector,,,,Imperdiet Electronics,SFH5110-40,Logic Output Photo Detector,Praesent Corporation,SFH5110-40,Logic Output Photo Detector,Insight Electronics Inc;Inland Empire Components
50-0010,2,"Screw, M3 x 6, ST, PH, Torx",2,A,In Production,M3 x 6 Stainless Steel Pan Head Self Tapping Screw with Torx Drive style,each,OTS,,3/2/2010,,,,,,,Justo Inc.,PHSTT-M3x6,"Screw, M3 x 6, ST, PH, TX",,,,Justo Inc.
50-0012,3,"GPS, Front Bezel",2,B,In Production,"Injection molded plastic front cover for GPS Car Navigation System Model 3 Texture: MoldTech MT-11030 - 0.002Ëùdepth, 3Ë_ draft",each,MTS,Frank Rogers,3/2/2010,Laoreet,GPS 50-0012,"GPS, Front Bezel",Sodales,GPS 50-0012,"GPS, Front Bezel",Laoreet,GPS 50-0012,"GPS, Front Bezel",Sodales,GPS 50-0012,"GPS, Front Bezel",Forecast 3D;Arrk
50-0016,3,"GPS, Rear Panel",2,B,In Production,"Injection molded plastic rear panel for GPS Car Navigation System Model 3 Texture: MoldTech MT-11030 - 0.002Ëùdepth, 3Ë_ draft",each,MTS,Dan Martin,3/2/2010,Laoreet,GPS 50-0016,"GPS, Rear Panel",Sodales,GPS 50-0016,"GPS, Rear Panel",Laoreet,GPS 50-0016,"GPS, Rear Panel",Sodales,GPS 50-0016,"GPS, Rear Panel",Forecast 3D;Arrk
50-0080,3,"Gasket, Screen, 3.5in",2,A,In Production,,each,MTS,Kathy Davies,3/8/2010,Lectus Labeling,GPS 50-0080,"Gasket, Screen, 3.5in",,,,Lectus Labeling,GPS 50-0080,"Gasket, Screen, 3.5in",,,,Lectus Labeling
50-0087,2,GPS Model 3 US Boxed Product Label,2,A,In Production,GPS Model 3 US Boxed Product Label White polyester adhesive label with black print,each,MTS,Helen Shaughnessy,3/12/2010,Arcu Packaging,GPS 30-0085,Packaging,,,,Arcu Packaging,GPS 30-0085,Packaging,,,,Arcu Packaging
50-0088,2,"Box with GPS Logo, 5 in x 5 in x 5 in",2,B,In Production,"5"" x 5"" x 5"" white box packaging with large GPS logo on top of box. See files tab for artwork to be put on box.",each,MTS,George C Lewis,3/12/2010,Arcu Packaging,GPS 50-0099,Packaging,,,,Arcu Packaging,GPS 50-0099,Packaging,,,,Arcu Packaging
50-0089,3,"Screw, M2 x 5, ST, PH, Torx",2,A,In Production,Screw M2 x 5 stainless steel self tapping pan head with Torx drive,each,OTS,Roger McDonald,3/16/2010,,,,,,,Justo Inc.,PHSTT-M2 X 5,"Screw, M2 x 5, ST, PH, TX",,,,Justo Inc.
90-0006,2,Manual - Model 3/500,2,B,In Production,Quickstart guide for both GPS Model 3 and Model 500,each,MTS,Wendy Snow,3/2/2010,Aenean Printing,90-0006,Manual,,,,Aenean Printing,90-0006,Manual,,,,Aenean Printing
