PURCHASE_ORDER_LINE_ID,PURCHASE_ORDER_ID,ORDER_DATE,ORDER_STATUS,BUYER_NAME,SUPPLIER_ID,SUPPLIER_NAME,SUPPLIER_CITY,SUPPLIER_STATE,PRODUCT_ID,PRODUCT_NAME,PROCUREMENT_TYPE,ORDERED_QUANTITY,RECEIVED_QUANTITY,UNIT_PRICE,STANDARD_UNIT_PRICE,PROMISED_DELIVERY_DATE,ACTUAL_DELIVERY_DATE,INSPECTION_DATE,INSPECTED_QUANTITY,REJECTED_QUANTITY,DEFECT_CATEGORY,ORDER_LINE_VALUE,PRICE_VARIANCE_AMOUNT,DAYS_LATE,IS_ON_TIME,DEFECT_RATE_PCT,OPEN_ORDER_EXPOSURE
PO-10354-L02,PO-10354,2023-01-02,CLOSED,Daniel Kim,Cubilia Electronics,Cubilia Electronics,Cumberland,ON,40-0058,47 ohm Resistor,OTS,950,950,152.13,144.20,2023-02-11,2023-02-21,2023-02-22,950,0,,144523.50,7533.50,10,0,0.00,0.00
PO-10354-L03,PO-10354,2023-01-02,CLOSED,Daniel Kim,Cubilia Electronics,Cubilia Electronics,Cumberland,ON,40-0067,2M Resistor,OTS,100,100,26.44,24.80,2023-01-18,2023-01-17,2023-01-18,100,0,,2644.00,164.00,-1,1,0.00,0.00
PO-11354-L01,PO-11354,2023-01-02,CLOSED,Daniel Kim,Malesuada Limited,Malesuada Limited,,,50-0087,GPS Model 3 US Boxed Product Label,MTS,760,760,206.42,205.60,2023-02-12,2023-02-09,2023-02-10,760,0,,156879.20,623.20,-3,1,0.00,0.00
PO-11354-L02,PO-11354,2023-01-02,CLOSED,Daniel Kim,Malesuada Limited,Malesuada Limited,,,20-0005,Package Documentation,OTS,861,861,61.10,60.20,2023-01-19,2023-01-21,2023-01-22,861,0,,52607.10,774.90,2,0,0.00,0.00
PO-11354-L03,PO-11354,2023-01-02,CLOSED,Daniel Kim,Malesuada Limited,Malesuada Limited,,,40-0039,USB Connector,OTS,962,962,142.92,139.30,2023-01-26,2023-02-02,2023-02-03,962,0,,137489.04,3482.44,7,0,0.00,0.00
PO-12354-L01,PO-12354,2023-01-02,CLOSED,Daniel Kim,At Auctor Co,At Auctor Co,,,40-0056,1M Resistor,OTS,671,671,117.22,121.60,2023-01-20,2023-01-25,2023-01-26,671,0,,78654.62,-2938.98,5,0,0.00,0.00
PO-12354-L02,PO-12354,2023-01-02,CLOSED,Daniel Kim,At Auctor Co,At Auctor Co,,,40-0064,Speaker w/drive circuit 3-15volts,OTS,772,772,195.68,200.70,2023-01-27,2023-02-06,2023-02-07,772,0,,151064.96,-3875.44,10,0,0.00,0.00
PO-12354-L03,PO-12354,2023-01-02,CLOSED,Daniel Kim,At Auctor Co,At Auctor Co,,,40-0072,2.7k Resistor,OTS,873,873,80.16,81.30,2023-02-03,2023-02-02,2023-02-03,873,0,,69979.68,-995.22,-1,1,0.00,0.00
PO-10707-L01,PO-10707,2023-01-03,CLOSED,Jordan Lee,Est Electronics Corp.,Est Electronics Corp.,,,40-0067,2M Resistor,OTS,596,596,24.97,24.80,2023-01-17,2023-01-25,2023-01-26,596,12,COSMETIC,14882.12,101.32,8,0,2.01,0.00
PO-10707-L02,PO-10707,2023-01-03,CLOSED,Jordan Lee,Est Electronics Corp.,Est Electronics Corp.,,,40-0074,"Miniature Pushbutton Switch, Right Angle",OTS,697,697,105.77,103.90,2023-01-24,2023-01-21,2023-01-22,697,21,PACKAGING,73721.69,1303.39,-3,1,3.01,0.00
PO-10707-L03,PO-10707,2023-01-03,CLOSED,Jordan Lee,Est Electronics Corp.,Est Electronics Corp.,,,50-0016,"GPS, Rear Panel",MTS,798,798,188.31,183.00,2023-01-31,2023-02-02,2023-02-03,798,8,DIMENSIONAL,150271.38,4237.38,2,0,1.00,0.00
PO-11707-L01,PO-11707,2023-01-03,CLOSED,Jordan Lee,Nunc Ltd,Nunc Ltd,,,40-0039,USB Connector,OTS,507,507,134.70,139.30,2023-01-25,2023-01-25,2023-01-26,507,11,COSMETIC,68292.90,-2332.20,0,1,2.17,0.00
PO-11707-L02,PO-11707,2023-01-03,CLOSED,Jordan Lee,Nunc Ltd,Nunc Ltd,,,40-0047,51k Resistor,OTS,608,608,19.46,19.90,2023-02-01,2023-02-06,2023-02-07,608,19,PACKAGING,11831.68,-267.52,5,0,3.13,0.00
PO-11707-L03,PO-11707,2023-01-03,CLOSED,Jordan Lee,Nunc Ltd,Nunc Ltd,,,40-0054,Voltage Detector CMOS 4.3V SOT23,OTS,709,709,97.91,99.00,2023-02-08,2023-02-18,2023-02-19,709,8,DIMENSIONAL,69418.19,-772.81,10,0,1.13,0.00
PO-12707-L01,PO-12707,2023-01-03,CLOSED,Jordan Lee,Elementum SCI,Elementum SCI,,,40-0072,2.7k Resistor,OTS,418,418,85.93,81.30,2023-02-02,2023-02-10,2023-02-11,418,9,COSMETIC,35918.74,1935.34,8,0,2.15,0.00
PO-12707-L02,PO-12707,2023-01-03,CLOSED,Jordan Lee,Elementum SCI,Elementum SCI,,,50-0010,"Screw, M3 x 6, ST, PH, Torx",OTS,519,519,171.31,160.40,2023-02-09,2023-02-06,2023-02-07,519,16,PACKAGING,88909.89,5662.29,-3,1,3.08,0.00
PO-12707-L03,PO-12707,2023-01-03,CLOSED,Jordan Lee,Elementum SCI,Elementum SCI,,,90-0006,Manual - Model 3/500,MTS,620,620,38.91,41.00,2023-02-16,2023-02-18,2023-02-19,620,7,DIMENSIONAL,24124.20,-1295.80,2,0,1.13,0.00
PO-10060-L01,PO-10060,2023-01-04,CLOSED,Sofia Martinez,Aenean Printing,Aenean Printing,,,40-0049,500mW NPN Transistor,OTS,432,432,42.93,42.50,2023-01-22,2023-01-25,2023-01-26,432,0,,18545.76,185.76,3,0,0.00,0.00
PO-10060-L02,PO-10060,2023-01-04,CLOSED,Sofia Martinez,Aenean Printing,Aenean Printing,,,40-0056,1M Resistor,OTS,533,533,124.15,121.60,2023-01-29,2023-02-06,2023-02-07,533,0,,66171.95,1359.15,8,0,0.00,0.00
PO-10060-L03,PO-10060,2023-01-04,CLOSED,Sofia Martinez,Aenean Printing,Aenean Printing,,,40-0064,Speaker w/drive circuit 3-15volts,OTS,634,634,207.12,200.70,2023-02-05,2023-02-02,2023-02-03,634,0,,131314.08,4070.28,-3,1,0.00,0.00
PO-11060-L01,PO-11060,2023-01-04,CLOSED,Sofia Martinez,Justo Inc.,Justo Inc.,,,50-0016,"GPS, Rear Panel",MTS,343,343,177.51,183.00,2023-01-30,2023-02-10,2023-02-11,343,0,,60885.93,-1883.07,11,0,0.00,0.00
PO-11060-L02,PO-11060,2023-01-04,CLOSED,Sofia Martinez,Justo Inc.,Justo Inc.,,,20-0003,"GPS, Front Bezel Assembly",OTS,444,444,36.89,37.60,2023-02-06,2023-02-06,2023-02-07,444,0,,16379.16,-315.24,0,1,0.00,0.00
PO-11060-L03,PO-11060,2023-01-04,CLOSED,Sofia Martinez,Justo Inc.,Justo Inc.,,,40-0035,"GPS, Circuit Board",MTS,545,545,115.77,116.70,2023-02-13,2023-02-18,2023-02-19,545,0,,63094.65,-506.85,5,0,0.00,0.00
PO-12060-L01,PO-12060,2023-01-04,CLOSED,Sofia Martinez,Access Limited,Access Limited,,,40-0054,Voltage Detector CMOS 4.3V SOT23,OTS,254,254,104.94,99.00,2023-02-07,2023-02-10,2023-02-11,254,0,,26654.76,1508.76,3,0,0.00,0.00
PO-12060-L02,PO-12060,2023-01-04,CLOSED,Sofia Martinez,Access Limited,Access Limited,,,40-0062,3k Resistor,OTS,355,355,167.59,178.10,2023-02-14,2023-02-22,2023-02-23,355,0,,59494.45,-3731.05,8,0,0.00,0.00
PO-12060-L03,PO-12060,2023-01-04,CLOSED,Sofia Martinez,Access Limited,Access Limited,,,40-0070,"Schottky Diode, 320mV@1mA",OTS,456,456,55.88,58.70,2023-01-21,2023-01-18,2023-01-19,456,0,,25481.28,-1285.92,-3,1,0.00,0.00
PO-10413-L01,PO-10413,2023-01-05,CLOSED,Priya Shah,EGETEM,EGETEM,Portland,OREGON,40-0064,Speaker w/drive circuit 3-15volts,OTS,179,179,195.28,200.70,2023-02-04,2023-02-18,2023-02-19,179,0,,34955.12,-970.18,14,0,0.00,0.00
PO-10413-L02,PO-10413,2023-01-05,CLOSED,Priya Shah,EGETEM,EGETEM,Portland,OREGON,40-0072,2.7k Resistor,OTS,280,280,80.00,81.30,2023-02-11,2023-03-02,2023-03-03,280,0,,22400.00,-364.00,19,0,0.00,0.00
PO-10413-L03,PO-10413,2023-01-05,CLOSED,Priya Shah,EGETEM,EGETEM,Portland,OREGON,50-0010,"Screw, M3 x 6, ST, PH, Torx",OTS,381,381,159.60,160.40,2023-02-18,2023-02-26,2023-02-27,381,0,,60807.60,-304.80,8,0,0.00,0.00
PO-11413-L01,PO-11413,2023-01-05,CLOSED,Priya Shah,Mauris Quis Circuits,Mauris Quis Circuits,,,40-0035,"GPS, Circuit Board",MTS,90,90,124.05,116.70,2023-02-12,2023-02-18,2023-02-19,90,0,,11164.50,661.50,6,0,0.00,0.00
PO-11413-L02,PO-11413,2023-01-05,CLOSED,Priya Shah,Mauris Quis Circuits,Mauris Quis Circuits,,,40-0045,Low-dropout 5.0V 100mA Voltage Regulator,OTS,191,191,184.84,195.80,2023-01-19,2023-01-30,2023-01-31,191,0,,35304.44,-2093.36,11,0,0.00,0.00
PO-11413-L03,PO-11413,2023-01-05,CLOSED,Priya Shah,Mauris Quis Circuits,Mauris Quis Circuits,,,40-0052,"Tantalum Capacitor 10uF@16V,B pkg",OTS,292,292,72.96,76.40,2023-01-26,2023-02-11,2023-02-12,292,0,,21304.32,-1004.48,16,0,0.00,0.00
PO-12413-L01,PO-12413,2023-01-05,CLOSED,Priya Shah,Cubilia Electronics,Cubilia Electronics,Cumberland,ON,40-0070,"Schottky Diode, 320mV@1mA",OTS,952,952,60.05,58.70,2023-01-20,2023-01-26,2023-01-27,952,0,,57167.60,1285.20,6,0,0.00,0.00
PO-12413-L02,PO-12413,2023-01-05,CLOSED,Priya Shah,Cubilia Electronics,Cubilia Electronics,Cumberland,ON,40-0077,Molex 4-pin 0.079 RA Header,OTS,102,102,142.49,137.80,2023-01-27,2023-02-07,2023-02-08,102,0,,14533.98,478.38,11,0,0.00,0.00
PO-12413-L03,PO-12413,2023-01-05,CLOSED,Priya Shah,Cubilia Electronics,Cubilia Electronics,Cumberland,ON,50-0088,"Box with GPS Logo, 5 in x 5 in x 5 in",MTS,203,203,19.23,18.40,2023-02-03,2023-02-03,2023-02-04,203,0,,3903.69,168.49,0,1,0.00,0.00
PO-10766-L01,PO-10766,2023-01-06,CLOSED,Alex Morgan,Eu Sem Electronics,Eu Sem Electronics,,,50-0010,"Screw, M3 x 6, ST, PH, Torx",OTS,877,877,170.99,160.40,2023-02-17,2023-02-26,2023-02-27,877,0,,149958.23,9287.43,9,0,0.00,0.00
PO-10766-L02,PO-10766,2023-01-06,CLOSED,Alex Morgan,Eu Sem Electronics,Eu Sem Electronics,,,90-0006,Manual - Model 3/500,MTS,978,929,38.83,41.00,2023-01-24,2023-01-22,2023-01-23,929,28,COSMETIC,37975.74,-2122.26,-2,1,3.01,0.00
PO-10766-L03,PO-10766,2023-01-06,CLOSED,Alex Morgan,Eu Sem Electronics,Eu Sem Electronics,,,40-0009,"Power Supply, US",OTS,128,128,90.15,94.10,2023-01-31,2023-02-03,2023-02-04,128,2,PACKAGING,11539.20,-505.60,3,0,1.56,0.00
PO-11766-L01,PO-11766,2023-01-06,CLOSED,Alex Morgan,Praesent Corporation,Praesent Corporation,,,40-0052,"Tantalum Capacitor 10uF@16V,B pkg",OTS,788,788,78.39,76.40,2023-01-25,2023-01-26,2023-01-27,788,0,,61771.32,1568.12,1,0,0.00,0.00
PO-11766-L02,PO-11766,2023-01-06,CLOSED,Alex Morgan,Praesent Corporation,Praesent Corporation,,,40-0059,Small-single NPN Transistor,OTS,889,889,161.25,155.50,2023-02-01,2023-02-07,2023-02-08,889,27,COSMETIC,143351.25,5111.75,6,0,3.04,0.00
PO-11766-L03,PO-11766,2023-01-06,CLOSED,Alex Morgan,Praesent Corporation,Praesent Corporation,,,40-0068,P-Chan MOSFET SOT-223,OTS,990,940,37.83,36.10,2023-02-08,2023-02-19,2023-02-20,940,10,PACKAGING,37451.70,1712.70,11,0,1.06,0.00
PO-12766-L01,PO-12766,2023-01-06,CLOSED,Alex Morgan,Est Electronics Corp.,Est Electronics Corp.,,,50-0088,"Box with GPS Logo, 5 in x 5 in x 5 in",MTS,699,699,18.14,18.40,2023-02-02,2023-02-11,2023-02-12,699,0,,12679.86,-181.74,9,0,0.00,0.00
PO-12766-L02,PO-12766,2023-01-06,CLOSED,Alex Morgan,Est Electronics Corp.,Est Electronics Corp.,,,20-0015,"GPS, PCBA, Model 3",MTS,800,800,71.29,71.50,2023-02-09,2023-02-07,2023-02-08,800,24,COSMETIC,57032.00,-168.00,-2,1,3.00,0.00
PO-12766-L03,PO-12766,2023-01-06,CLOSED,Alex Morgan,Est Electronics Corp.,Est Electronics Corp.,,,40-0041,0.1uF Ceramic Chip Capacitor,OTS,901,901,151.80,150.60,2023-02-16,2023-02-19,2023-02-20,901,10,PACKAGING,136771.80,1081.20,3,0,1.11,0.00
PO-10119-L01,PO-10119,2023-01-07,CLOSED,Daniel Kim,Ante Corp.,Ante Corp.,West Valley City,UTAH,40-0062,3k Resistor,OTS,713,713,190.39,178.10,2023-01-22,2023-01-26,2023-01-27,713,15,PACKAGING,135748.07,8762.77,4,0,2.10,0.00
PO-10119-L02,PO-10119,2023-01-07,CLOSED,Daniel Kim,Ante Corp.,Ante Corp.,West Valley City,UTAH,40-0070,"Schottky Diode, 320mV@1mA",OTS,814,814,55.77,58.70,2023-01-29,2023-02-07,2023-02-08,814,0,,45396.78,-2385.02,9,0,0.00,0.00
PO-10119-L03,PO-10119,2023-01-07,CLOSED,Daniel Kim,Ante Corp.,Ante Corp.,West Valley City,UTAH,40-0077,Molex 4-pin 0.079 RA Header,OTS,915,915,132.43,137.80,2023-02-05,2023-02-03,2023-02-04,915,0,,121173.45,-4913.55,-2,1,0.00,0.00
PO-11119-L01,PO-11119,2023-01-07,CLOSED,Daniel Kim,Laoreet,Laoreet,,,40-0009,"Power Supply, US",OTS,624,624,96.83,94.10,2023-01-30,2023-02-11,2023-02-12,624,13,PACKAGING,60421.92,1703.52,12,0,2.08,0.00
PO-11119-L02,PO-11119,2023-01-07,CLOSED,Daniel Kim,Laoreet,Laoreet,,,40-0043,1k Resistor,OTS,725,725,180.13,173.20,2023-02-06,2023-02-07,2023-02-08,725,0,,130594.25,5024.25,1,0,0.00,0.00
PO-11119-L03,PO-11119,2023-01-07,CLOSED,Daniel Kim,Laoreet,Laoreet,,,40-0050,Small-signal PNP Transistor,OTS,826,826,56.54,53.80,2023-02-13,2023-02-19,2023-02-20,826,0,,46702.04,2263.24,6,0,0.00,0.00
PO-12119-L01,PO-12119,2023-01-07,CLOSED,Daniel Kim,Aenean Printing,Aenean Printing,,,40-0068,P-Chan MOSFET SOT-223,OTS,535,508,35.70,36.10,2023-02-07,2023-02-11,2023-02-12,508,11,PACKAGING,19099.50,-214.00,4,0,2.17,0.00
PO-12119-L02,PO-12119,2023-01-07,CLOSED,Daniel Kim,Aenean Printing,Aenean Printing,,,40-0075,Single Logic Level P-Channel FET,OTS,636,636,115.20,115.20,2023-02-14,2023-02-23,2023-02-24,636,0,,73267.20,0.00,9,0,0.00,0.00
PO-12119-L03,PO-12119,2023-01-07,CLOSED,Daniel Kim,Aenean Printing,Aenean Printing,,,50-0080,"Gasket, Screen, 3.5in",MTS,737,737,196.44,194.30,2023-01-21,2023-01-19,2023-01-20,737,0,,144776.28,1577.18,-2,1,0.00,0.00
PO-10472-L01,PO-10472,2023-01-08,CLOSED,Jordan Lee,Egestas Engineering,Egestas Engineering,Grey County,ON,40-0077,Molex 4-pin 0.079 RA Header,OTS,460,460,142.21,137.80,2023-02-04,2023-02-11,2023-02-12,460,0,,65416.60,2028.60,7,0,0.00,0.00
PO-10472-L02,PO-10472,2023-01-08,CLOSED,Jordan Lee,Egestas Engineering,Egestas Engineering,Grey County,ON,50-0088,"Box with GPS Logo, 5 in x 5 in x 5 in",MTS,561,561,19.19,18.40,2023-02-11,2023-02-23,2023-02-24,561,0,,10765.59,443.19,12,0,0.00,0.00
PO-10472-L03,PO-10472,2023-01-08,CLOSED,Jordan Lee,Egestas Engineering,Egestas Engineering,Grey County,ON,20-0015,"GPS, PCBA, Model 3",MTS,662,662,75.36,71.50,2023-02-18,2023-02-19,2023-02-20,662,0,,49888.32,2555.32,1,0,0.00,0.00
PO-11472-L01,PO-11472,2023-01-08,CLOSED,Jordan Lee,Microchips Corp.,Microchips Corp.,,,40-0050,Small-signal PNP Transistor,OTS,371,371,53.37,53.80,2023-02-12,2023-02-11,2023-02-12,371,0,,19800.27,-159.53,-1,1,0.00,0.00
PO-11472-L02,PO-11472,2023-01-08,CLOSED,Jordan Lee,Microchips Corp.,Microchips Corp.,,,40-0057,"0.01uF Ceramic Chip Capacitor, 0603",OTS,472,472,133.30,132.90,2023-02-19,2023-02-23,2023-02-24,472,0,,62917.60,188.80,4,0,0.00,0.00
PO-11472-L03,PO-11472,2023-01-08,CLOSED,Jordan Lee,Microchips Corp.,Microchips Corp.,,,40-0066,Signal Diode,OTS,573,573,214.97,212.00,2023-01-26,2023-02-04,2023-02-05,573,0,,123177.81,1701.81,9,0,0.00,0.00
PO-12472-L01,PO-12472,2023-01-08,CLOSED,Jordan Lee,EGETEM,EGETEM,Portland,OREGON,50-0080,"Gasket, Screen, 3.5in",MTS,282,282,184.97,194.30,2023-02-20,2023-03-07,2023-03-08,282,0,,52161.54,-2631.06,15,0,0.00,0.00
PO-12472-L02,PO-12472,2023-01-08,CLOSED,Jordan Lee,EGETEM,EGETEM,Portland,OREGON,20-0004,"GPS, Rear Assembly",MTS,383,383,47.09,48.90,2023-01-27,2023-02-16,2023-02-17,383,0,,18035.47,-693.23,20,0,0.00,0.00
PO-12472-L03,PO-12472,2023-01-08,CLOSED,Jordan Lee,EGETEM,EGETEM,Portland,OREGON,40-0038,GPS Micro controller,OTS,484,484,124.67,128.00,2023-02-03,2023-02-12,2023-02-13,484,0,,60340.28,-1611.72,9,0,0.00,0.00
PO-10825-L01,PO-10825,2023-01-09,CLOSED,Sofia Martinez,Fringilla Electronics,Fringilla Electronics,,,20-0015,"GPS, PCBA, Model 3",MTS,207,207,71.14,71.50,2023-02-17,2023-02-27,2023-02-28,207,0,,14725.98,-74.52,10,0,0.00,0.00
PO-10825-L02,PO-10825,2023-01-09,CLOSED,Sofia Martinez,Fringilla Electronics,Fringilla Electronics,,,40-0041,0.1uF Ceramic Chip Capacitor,OTS,308,308,151.50,150.60,2023-01-24,2023-01-23,2023-01-24,308,0,,46662.00,277.20,-1,1,0.00,0.00
PO-10825-L03,PO-10825,2023-01-09,CLOSED,Sofia Martinez,Fringilla Electronics,Fringilla Electronics,,,40-0048,470k Resistor,OTS,409,409,31.73,31.20,2023-01-31,2023-02-04,2023-02-05,409,5,COSMETIC,12977.57,216.77,4,0,1.22,0.00
PO-11825-L01,PO-11825,2023-01-09,CLOSED,Sofia Martinez,Sodales,Sodales,,,40-0066,Signal Diode,OTS,118,118,202.46,212.00,2023-01-25,2023-01-27,2023-01-28,118,0,,23890.28,-1125.72,2,0,0.00,0.00
PO-11825-L02,PO-11825,2023-01-09,CLOSED,Sofia Martinez,Sodales,Sodales,,,40-0073,4.0 MHz Fixed oscillator,OTS,219,219,89.45,92.60,2023-02-01,2023-02-08,2023-02-09,219,0,,19589.55,-689.85,7,0,0.00,0.00
PO-11825-L03,PO-11825,2023-01-09,CLOSED,Sofia Martinez,Sodales,Sodales,,,50-0012,"GPS, Front Bezel",MTS,320,320,167.75,171.70,2023-02-08,2023-02-20,2023-02-21,320,4,COSMETIC,53680.00,-1264.00,12,0,1.25,0.00
PO-12825-L01,PO-12825,2023-01-09,CLOSED,Sofia Martinez,Eu Sem Electronics,Eu Sem Electronics,,,40-0038,GPS Micro controller,OTS,980,980,133.76,128.00,2023-02-02,2023-02-12,2023-02-13,980,0,,131084.80,5644.80,10,0,0.00,0.00
PO-12825-L02,PO-12825,2023-01-09,CLOSED,Sofia Martinez,Eu Sem Electronics,Eu Sem Electronics,,,40-0046,100ohm Resistor,OTS,130,130,218.70,207.10,2023-02-09,2023-02-08,2023-02-09,130,0,,28431.00,1508.00,-1,1,0.00,0.00
PO-12825-L03,PO-12825,2023-01-09,CLOSED,Sofia Martinez,Eu Sem Electronics,Eu Sem Electronics,,,40-0053,"Tantalum Capacitor 4.7uF@4V,A pkg",OTS,231,231,93.58,87.70,2023-02-16,2023-02-20,2023-02-21,231,3,COSMETIC,21616.98,1358.28,4,0,1.30,0.00
PO-10178-L01,PO-10178,2023-01-10,CLOSED,Priya Shah,Arcu Packaging,Arcu Packaging,Racine,WI,40-0075,Single Logic Level P-Channel FET,OTS,994,994,114.97,115.20,2023-02-22,2023-02-27,2023-02-28,994,20,COSMETIC,114280.18,-228.62,5,0,2.01,0.00
PO-10178-L02,PO-10178,2023-01-10,CLOSED,Priya Shah,Arcu Packaging,Arcu Packaging,Racine,WI,50-0080,"Gasket, Screen, 3.5in",MTS,144,144,196.05,194.30,2023-01-29,2023-02-08,2023-02-09,144,5,PACKAGING,28231.20,252.00,10,0,3.47,0.00
PO-10178-L03,PO-10178,2023-01-10,CLOSED,Priya Shah,Arcu Packaging,Arcu Packaging,Racine,WI,20-0004,"GPS, Rear Assembly",MTS,245,245,49.88,48.90,2023-02-05,2023-02-04,2023-02-05,245,0,,12220.60,240.10,-1,1,0.00,0.00
PO-11178-L01,PO-11178,2023-01-10,CLOSED,Priya Shah,Lectus Labeling,Lectus Labeling,,,40-0048,470k Resistor,OTS,905,905,29.89,31.20,2023-01-30,2023-01-27,2023-01-28,905,19,COSMETIC,27050.45,-1185.55,-3,1,2.10,0.00
PO-11178-L02,PO-11178,2023-01-10,CLOSED,Priya Shah,Lectus Labeling,Lectus Labeling,,,40-0055,220k Resistor,OTS,55,55,106.88,110.30,2023-02-06,2023-02-08,2023-02-09,55,2,PACKAGING,5878.40,-188.10,2,0,3.64,0.00
PO-11178-L03,PO-11178,2023-01-10,CLOSED,Priya Shah,Lectus Labeling,Lectus Labeling,,,40-0063,Exclusive Or Gate single,OTS,156,156,185.61,189.40,2023-02-13,2023-02-20,2023-02-21,156,0,,28955.16,-591.24,7,0,0.00,0.00
PO-12178-L01,PO-12178,2023-01-10,CLOSED,Priya Shah,Ante Corp.,Ante Corp.,West Valley City,UTAH,50-0012,"GPS, Front Bezel",MTS,816,816,179.94,171.70,2023-02-07,2023-02-12,2023-02-13,816,17,COSMETIC,146831.04,6723.84,5,0,2.08,0.00
PO-12178-L02,PO-12178,2023-01-10,CLOSED,Priya Shah,Ante Corp.,Ante Corp.,West Valley City,UTAH,20-0002,GPS Car Navigation Unit - Model 3,MTS,917,917,27.85,26.30,2023-02-14,2023-02-24,2023-02-25,917,28,PACKAGING,25538.45,1421.35,10,0,3.05,0.00
PO-12178-L03,PO-12178,2023-01-10,CLOSED,Priya Shah,Ante Corp.,Ante Corp.,West Valley City,UTAH,40-0011,LCD,OTS,67,67,99.08,105.40,2023-02-21,2023-02-20,2023-02-21,67,0,,6638.36,-423.44,-1,1,0.00,0.00
PO-10531-L01,PO-10531,2023-01-11,OPEN,Alex Morgan,Eleifend,Eleifend,,,20-0004,"GPS, Rear Assembly",MTS,741,0,46.99,48.90,2023-02-04,,,0,0,,34819.59,-1415.31,,,0.00,34819.59
PO-10531-L02,PO-10531,2023-01-11,OPEN,Alex Morgan,Eleifend,Eleifend,,,40-0038,GPS Micro controller,OTS,842,0,124.42,128.00,2023-02-11,,,0,0,,104761.64,-3014.36,,,0.00,104761.64
PO-10531-L03,PO-10531,2023-01-11,OPEN,Alex Morgan,Eleifend,Eleifend,,,40-0046,100ohm Resistor,OTS,943,0,203.58,207.10,2023-02-18,,,0,0,,191975.94,-3319.36,,,0.00,191975.94
PO-11531-L01,PO-11531,2023-01-11,OPEN,Alex Morgan,Nam LLC,Nam LLC,,,40-0063,Exclusive Or Gate single,OTS,652,0,199.06,189.40,2023-02-12,,,0,0,,129787.12,6298.32,,,0.00,129787.12
